day,blob1_id,blob1_color,blob1_strategy,blob2_id,blob2_color,blob2_strategy,blob1_choice,blob2_choice,result
8,red03,red,dominant,green10,green,mirror,rock,paper,loss
8,black01,black,lstm,blue08,blue,random,rock,rock,draw
8,green11,green,mirror,green12,green,mirror,rock,paper,loss
8,blue09,blue,random,red04,red,dominant,rock,rock,draw
8,blue10,blue,random,green13,green,mirror,scissors,scissors,draw
8,red05,red,dominant,black02,black,lstm,rock,paper,loss
8,green14,green,mirror,green15,green,mirror,scissors,paper,win
8,green16,green,mirror,blue11,blue,random,scissors,scissors,draw
8,green17,green,mirror,blue12,blue,random,rock,rock,draw
8,green18,green,mirror,green19,green,mirror,rock,paper,loss
8,green20,green,mirror,blue13,blue,random,paper,scissors,loss
8,green21,green,mirror,black03,black,lstm,rock,rock,draw
8,blue14,blue,random,green22,green,mirror,scissors,rock,loss
8,green23,green,mirror,green24,green,mirror,rock,paper,loss
8,red06,red,dominant,blue15,blue,random,rock,rock,draw
8,blue16,blue,random,green25,green,mirror,paper,scissors,loss
8,red07,red,dominant,black04,black,lstm,rock,scissors,win
8,red08,red,dominant,green26,green,mirror,rock,rock,draw
8,black05,black,lstm,green27,green,mirror,paper,paper,draw
9,red00,red,dominant,blue00,blue,random,scissors,rock,loss
9,green00,green,mirror,purple00,purple,rl,rock,scissors,win
9,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
9,blue01,blue,random,green01,green,mirror,rock,paper,loss
9,blue02,blue,random,green02,green,mirror,rock,paper,loss
9,red01,red,dominant,green03,green,mirror,rock,paper,loss
9,blue03,blue,random,green04,green,mirror,scissors,paper,win
9,blue04,blue,random,green05,green,mirror,rock,scissors,win
9,green06,green,mirror,red02,red,dominant,paper,rock,win
9,green07,green,mirror,blue05,blue,random,paper,scissors,loss
9,blue06,blue,random,blue07,blue,random,scissors,rock,loss
9,green08,green,mirror,green09,green,mirror,paper,scissors,loss
9,red03,red,dominant,green10,green,mirror,rock,paper,loss
9,black01,black,lstm,blue08,blue,random,rock,paper,loss
9,green11,green,mirror,green12,green,mirror,rock,paper,loss
9,blue09,blue,random,red04,red,dominant,rock,paper,loss
9,blue10,blue,random,green13,green,mirror,scissors,paper,win
9,red05,red,dominant,black02,black,lstm,rock,paper,loss
9,green14,green,mirror,green15,green,mirror,scissors,rock,loss
9,green16,green,mirror,blue11,blue,random,paper,scissors,loss
9,green17,green,mirror,blue12,blue,random,scissors,paper,win
9,green18,green,mirror,green19,green,mirror,paper,paper,draw
9,green20,green,mirror,blue13,blue,random,scissors,rock,loss
9,green21,green,mirror,black03,black,lstm,paper,rock,win
9,blue14,blue,random,green22,green,mirror,scissors,rock,loss
9,green23,green,mirror,green24,green,mirror,scissors,scissors,draw
9,red06,red,dominant,blue15,blue,random,rock,rock,draw
9,blue16,blue,random,green25,green,mirror,paper,scissors,loss
9,red07,red,dominant,black04,black,lstm,rock,scissors,win
9,red08,red,dominant,green26,green,mirror,scissors,paper,win
9,black05,black,lstm,green27,green,mirror,paper,scissors,loss
9,green28,green,mirror,red09,red,dominant,rock,scissors,win
9,purple01,purple,rl,black06,black,lstm,rock,rock,draw
9,green29,green,mirror,blue17,blue,random,scissors,paper,win
9,green30,green,mirror,green31,green,mirror,paper,scissors,loss
9,green32,green,mirror,green33,green,mirror,scissors,rock,loss
9,blue18,blue,random,green34,green,mirror,paper,rock,win
9,green35,green,mirror,black07,black,lstm,rock,scissors,win
9,green36,green,mirror,green37,green,mirror,rock,paper,loss
9,blue19,blue,random,green38,green,mirror,scissors,paper,win
9,green39,green,mirror,green40,green,mirror,rock,scissors,win
10,red00,red,dominant,blue00,blue,random,rock,paper,loss
10,green00,green,mirror,purple00,purple,rl,rock,rock,draw
10,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
10,blue01,blue,random,green01,green,mirror,rock,paper,loss
10,blue02,blue,random,green02,green,mirror,scissors,paper,win
10,red01,red,dominant,green03,green,mirror,rock,paper,loss
10,blue03,blue,random,green04,green,mirror,scissors,paper,win
10,blue04,blue,random,green05,green,mirror,scissors,scissors,draw
10,green06,green,mirror,red02,red,dominant,paper,paper,draw
10,green07,green,mirror,blue05,blue,random,rock,rock,draw
10,blue06,blue,random,blue07,blue,random,paper,rock,win
10,green08,green,mirror,green09,green,mirror,paper,scissors,loss
10,red03,red,dominant,green10,green,mirror,rock,paper,loss
10,black01,black,lstm,blue08,blue,random,rock,scissors,win
10,green11,green,mirror,green12,green,mirror,rock,paper,loss
10,blue09,blue,random,red04,red,dominant,paper,paper,draw
10,blue10,blue,random,green13,green,mirror,paper,rock,win
10,red05,red,dominant,black02,black,lstm,scissors,paper,win
10,green14,green,mirror,green15,green,mirror,scissors,rock,loss
10,green16,green,mirror,blue11,blue,random,rock,rock,draw
10,green17,green,mirror,blue12,blue,random,scissors,scissors,draw
10,green18,green,mirror,green19,green,mirror,scissors,paper,win
10,green20,green,mirror,blue13,blue,random,scissors,rock,loss
10,green21,green,mirror,black03,black,lstm,paper,rock,win
10,blue14,blue,random,green22,green,mirror,paper,rock,win
10,green23,green,mirror,green24,green,mirror,rock,paper,loss
10,red06,red,dominant,blue15,blue,random,rock,rock,draw
10,blue16,blue,random,green25,green,mirror,rock,scissors,win
10,red07,red,dominant,black04,black,lstm,rock,scissors,win
10,red08,red,dominant,green26,green,mirror,rock,paper,loss
10,black05,black,lstm,green27,green,mirror,paper,scissors,loss
10,green28,green,mirror,red09,red,dominant,rock,rock,draw
10,purple01,purple,rl,black06,black,lstm,rock,rock,draw
10,green29,green,mirror,blue17,blue,random,rock,paper,loss
10,green30,green,mirror,green31,green,mirror,scissors,paper,win
10,green32,green,mirror,green33,green,mirror,scissors,rock,loss
10,blue18,blue,random,green34,green,mirror,paper,scissors,loss
10,green35,green,mirror,black07,black,lstm,paper,scissors,loss
10,green36,green,mirror,green37,green,mirror,scissors,paper,win
10,blue19,blue,random,green38,green,mirror,scissors,rock,loss
10,green39,green,mirror,green40,green,mirror,rock,paper,loss
10,red10,red,dominant,blue20,blue,random,rock,paper,loss
10,green41,green,mirror,black08,black,lstm,paper,scissors,loss
10,green42,green,mirror,green43,green,mirror,paper,scissors,loss
10,green44,green,mirror,blue21,blue,random,scissors,scissors,draw
10,blue22,blue,random,green45,green,mirror,rock,paper,loss
10,blue23,blue,random,blue24,blue,random,rock,scissors,win
10,green46,green,mirror,green47,green,mirror,paper,paper,draw
10,blue25,blue,random,green48,green,mirror,rock,paper,loss
10,red11,red,dominant,blue26,blue,random,scissors,rock,loss
11,red00,red,dominant,blue00,blue,random,paper,paper,draw
11,green00,green,mirror,purple00,purple,rl,paper,rock,win
11,orange00,orange,mlp,black00,black,lstm,scissors,rock,loss
